keycodeid,keyword,ProductCode,ProductName,synonymId,synonymkeyword
2171,Laboratory glassware,3555,Laboratory Glassware,NULL,NULL
2176,Pipette,5252,Pipettes,NULL,NULL
2177,Pharmaceutical glassware,3555,Laboratory Glassware,NULL,NULL
2206,flower vase,2897,Flower,NULL,NULL
2226,Dishes,5964,Kitchen Equipment,NULL,NULL
2235,sanitary fittings,1812,Sanitary Items,NULL,NULL
2251,Refractory cement,221,Cement,NULL,NULL
2259,Grinder,4021,Grinder,NULL,NULL
2260,Grinding roll,4021,Grinder,NULL,NULL
2266,Pig iron,597,Iron Product,NULL,NULL
2269,Iron,597,Iron Product,NULL,NULL
2271,Steel,5182,Steel,NULL,NULL
2299,ferrous scrap,1895,Scrap,NULL,NULL
2317,Steel tube fittings,1968,Pipes / Fittings,NULL,NULL
2341,Steel Wire,10052,Wire And Cable,NULL,NULL
2348,Switch blades,4803,Knife,NULL,NULL
2362,Precious metal,6192,Gold Jewellery,NULL,NULL
2370,Aluminium oxide,5450,Iron Ore,NULL,NULL
2372,Aluminium powder,3840,Chemical,NULL,NULL
2374,Aluminium bar,2387,Bar,NULL,NULL
2375,Aluminium rod,762,Rod,NULL,NULL
2377,Aluminium wire,10052,Wire And Cable,NULL,NULL
2379,Aluminium foil,5929,Aluminium Foil,NULL,NULL
2383,Aluminium Scrap,2760,Aluminium Scrap,NULL,NULL
2386,Lead,5450,Iron Ore,NULL,NULL
2387,Zinc,611,Zinc,NULL,NULL
2388,Tin,1053,Tin,NULL,NULL
2392,Lead wire,10052,Wire And Cable,NULL,NULL
2433,Lead Scrap,5342,M S Scrap,NULL,NULL
2434,Zinc Scrap,5342,M S Scrap,NULL,NULL
2435,Tin scrap,5342,M S Scrap,NULL,NULL
2447,Copper Wire,10052,Wire And Cable,14334,Copper wire
2450,Copper strip,2637,Metal Products,NULL,NULL
2451,Copper foil,1855,Copper Product,NULL,NULL
2464,Copper scrap,5342,M S Scrap,NULL,NULL
2485,Nickel scrap,5342,M S Scrap,NULL,NULL
2487,Modular Building,357,Fabrication Work,NULL,NULL
2521,Scaffolding,983,Structure Work,NULL,NULL
2542,Sheet piling,711,Metal Sheet,NULL,NULL
2571,Breathing apparatus,5176,Breathing Apparatus,NULL,NULL
2629,Central heating boilers,6,Boiler,NULL,NULL
2630,Heat recovery system,4075,Heat Exchanger,NULL,NULL
2632,Wire products,10052,Wire And Cable,NULL,NULL
2633,Stranded wire,10052,Wire And Cable,NULL,NULL
2636,Fencing wire,10052,Wire And Cable,NULL,NULL
2637,Barbed Wire,10052,Wire And Cable,NULL,NULL
2639,Metal net,4443,Meshes,NULL,NULL
2640,Wire mesh fencing,868,Fencing Work,NULL,NULL
2641,Wire mesh fence,868,Fencing Work,NULL,NULL
2642,Wire cloth,4443,Meshes,NULL,NULL
2655,Ironmongery,3531,Hardware And Accessories,NULL,NULL
2659,Hardware,3531,Hardware And Accessories,NULL,NULL
2662,Steel sling,1694,Steel Product,NULL,NULL
2664,Aluminium conductor,110,Conductor,NULL,NULL
2665,Copper Conductor,110,Conductor,NULL,NULL
2667,Power Cable,10052,Wire And Cable,4255,Power cable
2667,Power Cable,10052,Wire And Cable,4261,Electrical Power Cable
2667,Power Cable,10052,Wire And Cable,4267,Electric Power Cable
2667,Power Cable,10052,Wire And Cable,4273,HT Power Cable
2667,Power Cable,10052,Wire And Cable,4279,Power Wire
2668,Low voltage cable,10052,Wire And Cable,NULL,NULL
2669,LT cable,10052,Wire And Cable,NULL,NULL
2671,Medium voltage cable,10052,Wire And Cable,NULL,NULL
2673,HT cable,10052,Wire And Cable,NULL,NULL
2676,Submarine cable,10052,Wire And Cable,NULL,NULL
2680,Steel cable,10052,Wire And Cable,NULL,NULL
2754,Metal shelving,3943,Shelves,NULL,NULL
2771,Cutlery,5964,Kitchen Equipment,NULL,NULL
2779,shaving blade,5256,Toiletries,NULL,NULL
2780,Manicure set,427,Drug,NULL,NULL
2784,Tools,804,Tool,NULL,NULL
2845,Chain,16,Chain,NULL,NULL
2853,Cement,221,Cement,NULL,NULL
2859,Flexible floor coverings,2318,Flooring,NULL,NULL
2862,Linoleum,10097,Plastic Product,NULL,NULL
2865,Roof,164,Roof Work,NULL,NULL
2868,Roof trusses,164,Roof Work,NULL,NULL
2871,Sound insulation,10037,Insulation and Insulating Materials,NULL,NULL
2877,Paving stones,525,Stone,NULL,NULL
2882,Hot Mix Material,859,Building Material,NULL,NULL
